Name,Image_URL
Grim Captain's Call,https://cards.scryfall.io/normal/front/0/0/0055934f-1567-4207-aaad-d32d0fe1cdba.jpg?1562549649
"Boseiju, Who Endures",https://cards.scryfall.io/normal/front/0/0/0055ea30-20fb-4324-a632-8fed87628f05.jpg?1647145068
Reassembling Skeleton,https://cards.scryfall.io/normal/front/0/0/00566375-e976-4e96-b751-cf0430452c9c.jpg?1689997423
Catastrophe,https://cards.scryfall.io/normal/front/0/0/00574054-7fac-4d77-a955-06e49fb01ae1.jpg?1562895101
Vandalblast,https://cards.scryfall.io/normal/front/0/0/00576634-29da-4f9d-bcbb-07a2f80ceba5.jpg?1667522133
Beledros Witherbloom,https://cards.scryfall.io/normal/front/0/0/0057bac8-7600-422e-88ef-accf1d0bb4ef.jpg?1628271863
Enchanted Carriage,https://cards.scryfall.io/normal/front/0/0/0057c2ae-ea4f-404a-ab95-f3979efd1b3b.jpg?1572490964
Insect,https://cards.scryfall.io/normal/front/0/0/0057f94e-c2be-44e1-a93b-e31432f4ffa5.jpg?1562086858
Workshop Elders,https://cards.scryfall.io/normal/front/0/0/0058a848-cb55-408a-a500-d97f573588f5.jpg?1682208984
Floodbringer,https://cards.scryfall.io/normal/front/0/0/0058be07-a8a1-448e-8c3d-61718cb384ec.jpg?1562875117
Phyresis,https://cards.scryfall.io/normal/front/0/0/0059d21b-0725-4806-8691-2451db36787f.jpg?1562609245
Banewhip Punisher,https://cards.scryfall.io/normal/front/0/0/005a19e2-c334-4b87-bc8b-55f62fc9abd9.jpg?1562787211
Mountain,https://cards.scryfall.io/normal/front/0/0/005a993c-5111-4364-9fba-75b3d94a8296.jpg?1559591904
"Nin, the Pain Artist",https://cards.scryfall.io/normal/front/0/0/005ad65e-cf0b-48e9-a314-2ebba5a1400c.jpg?1562598065
Corpse Traders,https://cards.scryfall.io/normal/front/0/0/005ae9a2-b235-49ee-ae54-6875e087f43d.jpg?1592754744
Zodiac Rabbit,https://cards.scryfall.io/normal/front/0/0/005b9531-3b50-4d13-9ed5-a42d961ab6af.jpg?1562542499
Rite of the Serpent,https://cards.scryfall.io/normal/front/0/0/005b9fec-66de-4079-88e0-c7de7e22d18e.jpg?1562781741
Scourge of Fleets,https://cards.scryfall.io/normal/front/0/0/005be4aa-9800-4f68-b341-90328dc34d13.jpg?1605370826
Maro's Gone Nuts,https://cards.scryfall.io/normal/front/0/0/005c5a29-0cf5-4f14-83cc-f8b0ba40e8bf.jpg?1582674200
Skullclamp,https://cards.scryfall.io/normal/front/0/0/005dae9a-dddc-4a11-95bb-cce319edcce4.jpg?1561930373
Skullmane Baku,https://cards.scryfall.io/normal/front/0/0/005edd3a-238d-471a-8d5b-2df735c49f67.jpg?1562875119
Feeling of Dread,https://cards.scryfall.io/normal/front/0/0/005f90cb-3fed-443a-8ba6-f42e060787d2.jpg?1679614655
Ledger Shredder,https://cards.scryfall.io/normal/front/0/0/005fd651-7546-462f-bf9f-c78fb3310889.jpg?1675619064
Pia Nalaar,https://cards.scryfall.io/normal/front/0/0/00604865-a6af-4ce1-8010-f9c276c2c945.jpg?1562895058
Shatterskull Charger,https://cards.scryfall.io/normal/front/0/0/0061031e-4189-492f-a55c-aef827c0c6ae.jpg?1607365341
Infected Vermin,https://cards.scryfall.io/normal/front/0/0/00615487-3526-4b4c-bb06-8f2af1f101d0.jpg?1562895063
Venerable Warsinger,https://cards.scryfall.io/normal/front/0/0/006313f8-cc60-4a4e-8ec6-953cdf1c16e3.jpg?1624740425
Thousand-Faced Shadow,https://cards.scryfall.io/normal/front/0/0/00632c03-be00-4722-85b3-2ce31bba5cc6.jpg?1647567737
Murderous Betrayal,https://cards.scryfall.io/normal/front/0/0/0063ed19-494b-4199-9120-d479bfcb625a.jpg?1562895062
Eyeblight Massacre,https://cards.scryfall.io/normal/front/0/0/00652c09-c50c-40da-8f0f-86b5cc3f6c26.jpg?1631234621
Raise Dead,https://cards.scryfall.io/normal/front/0/0/0066c7a6-7775-43ba-81cd-35fbc5621bc3.jpg?1559591661
Saprazzan Skerry,https://cards.scryfall.io/normal/front/0/0/006871fd-2641-42cb-a2ac-a33d05fc5a35.jpg?1562378939
Elder Gargaroth,https://cards.scryfall.io/normal/front/0/0/00694044-99c9-49f1-9e93-274d702a59f8.jpg?1596311641
Bloodline Culling,https://cards.scryfall.io/normal/front/0/0/0069688d-6fc8-466e-8b53-11f0ada87b21.jpg?1641079766
Jan Tomcani Bio,https://cards.scryfall.io/normal/front/0/0/006a2cce-dd8f-47d5-aedd-135e51ecfa23.jpg?1563217273
Enigma Drake,https://cards.scryfall.io/normal/front/0/0/006b0048-8a84-469c-974f-b75177b4dd81.jpg?1597251081
Sphinx Summoner,https://cards.scryfall.io/normal/front/0/0/006b5000-2a8f-4020-9dbf-7170da13b54e.jpg?1562799057
Blessing of Frost,https://cards.scryfall.io/normal/front/0/0/006b5880-eb49-4198-930c-39a85ff6ec66.jpg?1628381118
Saproling,https://cards.scryfall.io/normal/front/0/0/006c118e-b5c7-4726-acee-59132f23e4fc.jpg?1561756349
Worship,https://cards.scryfall.io/normal/front/0/0/006c18cf-b6d2-4fba-b9da-c9762fb3885b.jpg?1562895069
Duress,https://cards.scryfall.io/normal/front/0/0/006cbb74-7447-45fb-b44b-bac31832b392.jpg?1562549670
"Miara, Thorn of the Glade",https://cards.scryfall.io/normal/front/0/0/006d1cf4-bdf2-4ed3-8583-38309807ce93.jpg?1612487303
Flame Slash,https://cards.scryfall.io/normal/front/0/0/006d2bf1-20f7-4b09-8d98-8233d91682bd.jpg?1562700549
Touch of the Void,https://cards.scryfall.io/normal/front/0/0/006ead4a-dc57-4856-8e13-235ba55483e6.jpg?1562895118
"Danitha, New Benalia's Light",https://cards.scryfall.io/normal/front/0/0/006eb5ef-ac0a-4e39-831c-4019512bce60.jpg?1684341133
Guardian Angel,https://cards.scryfall.io/normal/front/0/0/006fa597-c469-4c9c-a14f-f09e1074392b.jpg?1559591797
Warrant // Warden,https://cards.scryfall.io/normal/front/0/0/0070651d-79aa-4ea6-b703-6ecd3528b548.jpg?1600989505
Sparkspitter,https://cards.scryfall.io/normal/front/0/0/0070bbf6-fdee-44ec-bfb8-3e99d6338e6e.jpg?1573512621
Hold the Perimeter,https://cards.scryfall.io/normal/front/0/0/00717f7c-0778-4a02-b6c0-b3c3f07e75a9.jpg?1681082896
Lightning Shrieker,https://cards.scryfall.io/normal/front/0/0/0071bf6e-a78b-4286-b3e7-acf44631a001.jpg?1562821887
"Atris, Oracle of Half-Truths",https://cards.scryfall.io/normal/front/0/0/0071c208-c5cc-49f2-83d7-b4d2a71a0a31.jpg?1581630508
Diamond Faerie,https://cards.scryfall.io/normal/front/0/0/0072cf13-284b-4fb8-ab2c-b2e15388a30a.jpg?1593275523
"Titania, Nature's Force",https://cards.scryfall.io/normal/front/0/0/0073096e-cc3b-499a-87d6-d1692fffe7a9.jpg?1674344223
Blighted Burgeoning,https://cards.scryfall.io/normal/front/0/0/007324b3-b8a9-4a32-a5a1-ad78f3a07bc3.jpg?1682204648
Finale of Promise,https://cards.scryfall.io/normal/front/0/0/0073802c-2758-49e7-8b1f-8113704ed8a3.jpg?1557640373
"Laelia, the Blade Reforged",https://cards.scryfall.io/normal/front/0/0/00760b58-8a7d-44fa-a5e7-9df54c21c77d.jpg?1625983064
Predatory Impetus,https://cards.scryfall.io/normal/front/0/0/0077099d-aafa-46b3-ab64-e1915a9dda70.jpg?1674137261
Cyclopean Tomb,https://cards.scryfall.io/normal/front/0/0/00775f44-fbe6-41ee-9977-d13d1fb5b6fb.jpg?1559591832
Grove of the Guardian,https://cards.scryfall.io/normal/front/0/0/0079326b-ef87-49b8-9772-9134fb5deb3e.jpg?1541002954
Deadly Alliance,https://cards.scryfall.io/normal/front/0/0/007a5c8c-ed0b-4844-9393-a3d25d4ffa1d.jpg?1604195436
Deep-Sea Terror,https://cards.scryfall.io/normal/front/0/0/007b526c-5387-4ed4-a320-b826d507e014.jpg?1562004585
Rhino,https://cards.scryfall.io/normal/front/0/0/007c828b-5854-41ac-9c18-f9d41c69ed33.jpg?1563073152
Steamflogger Boss,https://cards.scryfall.io/normal/front/0/0/007ce039-def1-4039-a0a0-ba72e8872dc5.jpg?1690725283
Immaculate Magistrate,https://cards.scryfall.io/normal/front/0/0/007d0556-ccc4-47c5-b2ab-54b9681b74ee.jpg?1593813597
Soul of Eternity,https://cards.scryfall.io/normal/front/0/0/007f0aab-e4e1-48dd-b333-76dd5c7ebe67.jpg?1608918383
Jaya Ballard,https://cards.scryfall.io/normal/front/0/0/007f1787-0d40-4fbd-b774-df891a0e5620.jpg?1562895130
Llanowar,https://cards.scryfall.io/normal/front/0/0/00832a47-dec8-411e-9708-b3ebbd3a2dfc.jpg?1547432491
"Gutmorn, Pactbound Servant",https://cards.scryfall.io/normal/front/0/0/0083a99d-92a1-4a31-b4d4-0dbb06057b48.jpg?1680465446
Refresh,https://cards.scryfall.io/normal/front/0/0/0084ba4e-98eb-4eb4-b23e-c5ab4d7d95cb.jpg?1562895117
Bone Picker,https://cards.scryfall.io/normal/front/0/0/00850712-704b-46af-93e6-51d7d79832f9.jpg?1597172099
Jack-o'-Lantern,https://cards.scryfall.io/normal/front/0/0/0085a12e-7f65-4390-ac3b-7ff7ac046dcf.jpg?1673161117
Manaform Hellkite,https://cards.scryfall.io/normal/front/0/0/0087f7de-7065-4492-8fe9-f9a22c32a05d.jpg?1673163001
Bind // Liberate,https://cards.scryfall.io/normal/front/0/0/0087fdee-acb4-4449-b4cc-370f0f3c88a9.jpg?1629920229
Zodiac Ox,https://cards.scryfall.io/normal/front/0/0/0088098e-c6b5-4483-be3e-d4ffd6ff64b1.jpg?1562542504
"Alesha, Who Smiles at Death",https://cards.scryfall.io/normal/front/0/0/0088e145-d402-42bb-98b5-af33901de44a.jpg?1591320536
"Nissa, Vastwood Seer // Nissa, Sage Animist",
"Faramir, Field Commander",https://cards.scryfall.io/normal/front/0/0/008b953a-da2b-4c30-9424-6d6e3e938251.jpg?1686970891
Spurnmage Advocate,https://cards.scryfall.io/normal/front/0/0/008c8d72-097e-472d-88c8-78bf29e42e32.jpg?1562628404
"Linvala, Shield of Sea Gate",https://cards.scryfall.io/normal/front/0/0/008c9605-7652-4ef6-9742-de325168141e.jpg?1607365051
Construct,https://cards.scryfall.io/normal/front/0/0/008d3b2e-a5e6-4ac2-85a0-82628333b80c.jpg?1660021201
Lake of the Dead,https://cards.scryfall.io/normal/front/0/0/008d7611-eaee-4474-bf16-30d11b5d310f.jpg?1681172529
Kiddie Coaster,https://cards.scryfall.io/normal/front/0/0/008d7d1f-8635-41d5-9921-11d8043a6206.jpg?1673915842
Consuming Vapors,https://cards.scryfall.io/normal/front/0/0/008de17e-aa79-4d4c-ab66-d516eca49e42.jpg?1562700551
Spell Blast,https://cards.scryfall.io/normal/front/0/0/008df307-f010-47bc-8548-65a1c7b1c4b8.jpg?1559601144
Slivdrazi Monstrosity,https://cards.scryfall.io/normal/front/0/0/008e066b-ca19-4c86-9865-d0d2662c0e50.jpg?1629920450
Pelakka Wurm,https://cards.scryfall.io/normal/front/0/0/00906b47-6316-4e00-bbf5-b801ab583f4f.jpg?1562300248
Ripscale Predator,https://cards.scryfall.io/normal/front/0/0/00924a16-fb85-41a4-bd7a-88f51f728333.jpg?1608910367
